iter	Logloss
0	0.6905215231
1	0.6871745537
2	0.6841488825
3	0.6811460068
4	0.6782582602
5	0.6752598387
6	0.6727061383
7	0.6701319252
8	0.6677143324
9	0.6658349393
10	0.6636100945
11	0.6619744041
12	0.6595473624
13	0.6572715417
14	0.6551723333
15	0.6532803002
16	0.6514901596
17	0.6495133403
18	0.6473470234
19	0.6456588337
20	0.6438526126
21	0.6425297685
22	0.6411470651
23	0.6387945491
24	0.6369893212
25	0.6355212861
26	0.6336505471
27	0.6321903886
28	0.6304365487
29	0.6283529929
30	0.626921704
31	0.6256469584
32	0.6243314752
33	0.6230008383
34	0.6216111478
35	0.6202811658
36	0.6188070079
37	0.6174618629
38	0.6160068911
39	0.6147673685
40	0.6135696445
41	0.6127432052
42	0.6116194061
43	0.6100662292
44	0.608958077
45	0.6078203672
46	0.6070726311
47	0.6059644279
48	0.6048068457
49	0.6042123456
50	0.6030769428
51	0.6023093685
52	0.6016253003
53	0.6009959645
54	0.6005074101
55	0.5995375625
56	0.5985776888
57	0.5979262273
58	0.5971562895
59	0.595870663
60	0.5950420853
61	0.5944562766
62	0.5933690145
63	0.592660558
64	0.5917504505
65	0.5911618656
66	0.5904820099
67	0.5898591876
68	0.5889747745
69	0.5881007074
70	0.5875968489
71	0.5869947428
72	0.5863799436
73	0.585978112
74	0.5856233315
75	0.5853851813
76	0.5850266615
77	0.5844896905
78	0.5836654499
79	0.5830856013
80	0.5825440062
81	0.5821944923
82	0.5820489833
83	0.5815730164
84	0.5810723065
85	0.5806444136
86	0.5803488937
87	0.5798916792
88	0.5794707574
89	0.5791050388
90	0.5786781572
91	0.5782247853
92	0.5778942758
93	0.5773228593
94	0.5766468499
95	0.5764321175
96	0.5760563661
97	0.5757226048
98	0.5753740129
99	0.5750966114
100	0.5745626556
101	0.5741927409
102	0.5737563502
103	0.5732449809
104	0.5730171506
105	0.5727256519
106	0.5723861592
107	0.5721865422
108	0.5718522366
109	0.5711249476
110	0.5709404528
111	0.5705702904
112	0.5703412953
113	0.5702579071
114	0.5698900517
115	0.5695393799
116	0.5691909695
117	0.5690168956
118	0.5686980632
119	0.5684389629
120	0.5680527901
