iter	Passed	Remaining
0	259	519683
1	423	423212
2	654	435453
3	949	473895
4	1202	479777
5	1350	448911
6	1629	463841
7	1888	470240
8	2207	488305
9	2529	503399
10	2867	518569
11	3027	501504
12	3347	511576
13	3547	503185
14	3721	492523
15	3991	494931
16	4283	499684
17	4606	507243
18	4913	512343
19	5235	518347
20	5385	507509
21	5663	509192
22	5936	510275
23	6217	511867
24	6530	515944
25	6804	516627
26	7094	518396
27	7326	516012
28	7600	516588
29	7891	518207
30	8165	518658
31	8519	523946
32	8704	518838
33	8967	518533
34	9276	520828
35	9500	518322
36	9799	519894
37	9998	516244
38	10332	519550
39	10518	515406
40	10689	510752
41	10942	510143
42	11117	505957
43	11424	507891
44	11599	503931
45	11757	499446
46	11926	495570
47	12100	492067
48	12263	488305
49	12422	484478
50	12586	480987
51	12756	477893
52	12922	474701
53	13081	471421
54	13239	468189
55	13424	466022
56	13592	463354
57	13780	461407
58	13985	460082
59	14185	458660
60	14377	457016
61	14537	454403
62	14722	452670
63	14888	450391
64	15053	448144
65	15283	447852
66	15455	445916
67	15626	443972
68	15794	442025
69	15968	440261
70	16138	438464
71	16290	436218
72	16446	434136
73	16608	432264
74	16820	431728
75	16989	430109
76	17160	428559
77	17318	426735
78	17477	425002
79	17657	423777
80	17893	423930
81	18069	422646
82	18239	421268
83	18389	419461
84	18554	418012
85	18725	416749
86	18951	416725
87	19139	415859
88	19317	414779
89	19504	413927
90	19690	413066
91	19866	412023
92	20064	411425
93	20264	410898
94	20433	409740
95	20593	408435
96	20761	407314
97	20925	406125
98	21116	405480
99	21291	404543
100	21463	403555
101	21643	402735
102	21803	401556
103	21964	400438
104	22133	399464
105	22301	398477
106	22496	397991
107	22666	397083
108	22834	396138
109	22999	395167
110	23161	394161
111	23347	393566
112	23517	392714
113	23700	392092
114	23868	391229
115	24036	390380
116	24242	390157
117	24416	389428
118	24609	389001
119	24765	387986
120	25056	389106
